customer_id,age,gender,income_bucket,orders_last_12m,recency_days,avg_order_value,website_visits_30d,email_opens_90d,top_category,cat_share_electronics,cat_share_apparel,cat_share_home,cat_share_beauty,cat_share_groceries,cat_share_sports,discount_exposed_30d,feedback_text,purchase_next_30d
1,40,M,Mid,4,185,80.41,6,2,Groceries,0.031,0.148,0.059,0.253,0.347,0.162,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
2,31,M,High,5,146,171.52,6,5,Home,0.273,0.09,0.476,0.031,0.05,0.08,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
3,43,F,Low,1,546,22.9,1,7,Groceries,0.071,0.008,0.155,0.275,0.434,0.057,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
4,24,M,Low,8,37,38.67,7,4,Home,0.208,0.125,0.272,0.132,0.082,0.181,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
5,29,F,Low,15,71,49.69,13,5,Sports,0.073,0.084,0.205,0.02,0.293,0.324,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
6,39,M,Mid,7,30,29.14,12,4,Beauty,0.183,0.068,0.002,0.717,0.026,0.004,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
7,19,M,Mid,3,61,73.63,8,7,Apparel,0.024,0.298,0.246,0.121,0.289,0.022,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
8,34,F,Low,0,448,25.57,1,7,Apparel,0.333,0.417,0.047,0.066,0.08,0.057,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
9,41,F,Mid,9,97,37.96,14,4,Groceries,0.172,0.145,0.049,0.077,0.438,0.119,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
10,35,M,Mid,8,122,102.83,6,3,Electronics,0.591,0.261,0.011,0.042,0.02,0.076,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
11,35,M,Mid,5,47,79.19,7,7,Electronics,0.481,0.017,0.305,0.019,0.147,0.031,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
